Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
16,15ГС,,,Q345B,,ГОСТ 19281-2014,,,1
17,15Х,,,15Cr,,ГОСТ 4543-2016,,,1
18,15ХА,,,15CrA,,ГОСТ 4543-2016,,,1
19,15ХМ,,,15CrMo,,ГОСТ 4543-2016,,,1
20,15ХР,,,,,ГОСТ 4543-2016,,,1
21,15ХФ,,,20CrV,,ГОСТ 4543-2016,,,1
22,16Г2АФ,,,Q420C,,ГОСТ 19281-2014,,,1
23,16ГС,,, 1.0445,,ГОСТ 19281-2014,,,1
24,16ХГТА,,,20CrMnTi,,ГОСТ 4543-2016,,,1
25,17Г1С,,,16Mn,,ГОСТ 19281-2014,7.00,Поковка,1
26,17ГС,,,16MnR,,ГОСТ 19281-2014,,,1
27,17ХГ,,,17CrMn,,ГОСТ 4543-2016,,,1
28,18Г2АФ,,,Q460C,,ГОСТ 19281-2014,,,1
29,18ХГ,,,15CrMn,,ГОСТ 4543-2016,8.00,Поковка,1
30,18ХГТ,,,16MnCrS,,ГОСТ 4543-2016,12.00,Поковка,1
31,19ХГН,,,20CrMnTi,,ГОСТ 4543-2016,,,1
32,20ГС,,,НЕТ,,ГОСТ 10884-94,,,1
33,20Н2М,,,4620,,ГОСТ 4543-2016,,,1
34,20Х,,,20Cr,,ГОСТ 4543-2016,12.00,Поковка,1
35,20ХГР,,,20CrMn,,ГОСТ 4543-2016,,,1
36,23Г2А,,,Q345,,ГОСТ 4543-2016,,,1
37,25ГС,,," C 25, Ck 25",,ГОСТ ТУ,,,1
