Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
122,Х28Н48В5Л,,,,,ГОСТ 977-88,,,1
123,Х28Н48ВЛ,,,,,ГОСТ 977-88,,,1
124,Х6С2МЛ,,,окалиностойкая,,ГОСТ 977-88,,,1
 7. Чугун,,,,,,,,,108
1,250Х25Т,,,,,ГОСТ ТУ,,,1
2,300Х13Г3С2М,,,,,ГОСТ ТУ,,,1
3,320Х20Н,,,,,ГОСТ ТУ,,,1
4,340ХС2,,,,,ГОСТ,,,1
5,АСЧ,,,,,ГОСТ 1585-85,,,1
6,АЧВ-1,,,,,ГОСТ 1585-85,,,1
7,АЧС-1,,,,,ГОСТ 1585-85,,,1
8,АЧС-2,,,,,ГОСТ 1585-85,,,1
9,ВЧ100,,,,,ГОСТ 7293-85,,,1
10,ВЧ35,,,,,ГОСТ 7293-85,,,1
11,ВЧ40,,,QT400-15,,ГОСТ 7293-85,10.00,,1
12,ВЧ45,,,QT450-10,,ГОСТ 7293-85,,,1
13,ВЧ50,,,QT500-7,,ГОСТ 7293-85,10.00,,1
14,ВЧ60,,,QT600-3,,ГОСТ 7293-85,10.00,,1
15,ВЧ70,,,QT700-2,,ГОСТ 7293-85,10.00,,1
16,ВЧШГ,,,,,ГОСТ,,,1
17,ЖЧХ,,,,,ГОСТ,,,1
18,ЖЧХН,,,,,ГОСТ,,,1
19,ЖЧЮ7Х2,,,жаропрочный,,ГОСТ,,,1
20,ИЧ300Х18Г3 ,,,,,ГОСТ ТУ,,,1
21,ИЧХ,,,,,ГОСТ,,,1
22,ИЧХ16МЛ,,,CC II,,ГОСТ 7769-82,,,1
23,ИЧХ17,,,,,ГОСТ 7769-82,,,1
24,ИЧХ26,,,,,ГОСТ 7769-82,,,1
25,ИЧХ28,,,,,ГОСТ 7769-82,,,1
26,ИЧХ28Н2,,,KmTBCr26,,ГОСТ 7769-82,,,1
27,Лиг.чугун,,,,,ГОСТ,,,1
28,ЛПХНД-63,,,SGP III,,ГОСТ ТУ СТО,,,1
29,ЛПХНд-65,,,,,ГОСТ ТУ СТО,,,1
30,ЛПХНд-70,,,,,ГОСТ ТУ СТО,,,1
31,ЛПХНд-71,,,CC IV,,ГОСТ ТУ СТО ,,,1
32,ЛПХНМд-73,,,CC IV,,ГОСТ ТУ СТО ,,,1
33,ЛПХНМДа-58,,,,,ГОСТ ТУ СТО,,,1
34,ЛШН45,,,SGP I,,ГОСТ ТУ СТО,8.00,,1
35,ЛШН51,,,SGP I,,ГОСТ ТУ СТО,,,1
36,Спец.чугун,,,,,ГОСТ,,,1
37,СПХН-45,,,CC I,,ГОСТ ТУ СТО,,,1
38,СПХН-47,,,CC II,,ГОСТ ТУ СТО,,,1
39,СПХН-50,,,CC II,,ГОСТ ТУ СТО,8.00,,1
40,СПХН-55,,,CC II,,ГОСТ ТУ СТО,,,1
41,СПХН-60,,,CC III,,ГОСТ ТУ СТО,8.00,,1
42,СПХН-65,,,CC III,,ГОСТ ТУ СТО,,,1
43,СПХНМ-50,,,SG IV,,ГОСТ ТУ СТО,,,1
44,СЧ10,,,,,ГОСТ 1412-85,,,1
45,СЧ12,,,,,ГОСТ 1412-70,,,1
46,СЧ12-22,,,,,ГОСТ 1412-70,,,1
47,СЧ12-28,,,,,ГОСТ 1412-70,,,1
48,СЧ15,,,HT150,,ГОСТ 1412-85,7.00,,1
49,СЧ15-32,,,HT200,,ГОСТ 1412-70,7.00,,1
50,СЧ18,,,HT200,,ГОСТ 1412-70,,,1
51,СЧ18-35,,,,,ГОСТ 1412-70,,,1
52,СЧ18-36,,,HT200,,ГОСТ 1412-70,7.00,,1
53,СЧ20,,,,,ГОСТ 1412-85,,,1
54,СЧ20-40,,,HT200,,ГОСТ 1412-70,7.00,,1
55,СЧ21,,,,,ГОСТ 1412-85,,,1
56,СЧ21-40,,,HT250,,ГОСТ 1412-70,7.00,,1
57,СЧ21-60,,,HT250,,ГОСТ 1412-70,,,1
58,СЧ24-44,,,,,ГОСТ 1412-70,,,1
59,СЧ25,,,HT250,,ГОСТ 1412-85,7.00,,1
60,СЧ28,,,,,ГОСТ 1412-85,,,1
61,СЧ28-48,,,HT300,,ГОСТ 1412-70,7.00,,1
62,СЧ30,,,HT300,,ГОСТ 1412-85,7.00,,1
63,СЧ32,,,,,ГОСТ 1412-85,,,1
64,СЧ32-52,,,HT300,,ГОСТ 1412-70,7.00,,1
65,СЧ34,,,,,ГОСТ 1412-85,,,1
66,СЧ340ХС2,,,,,ГОСТ,,,1
67,СЧ35,,,HT350,,ГОСТ 1412-85,7.00,,1
68,СЧ36-56,,,,,ГОСТ 1412-70,,,1
69,СШН-39,,,SGP II,,ГОСТ ТУ СТО,,,1
70,СШХ2НМ-55,,,,,ГОСТ ТУ СТО,,,1
71,СШХ2НМ-60,,,SGA I,,ГОСТ ТУ СТО,,,1
72,СШХМД-55,,,,,ГОСТ ТУ СТО,,,1
73,СШХН-45,,,SG V,,ГОСТ ТУ СТО,8.00,,1
74,СШХН-50,,,SG V,,ГОСТ ТУ СТО,8.00,,1
75,СШХН-60,,,SG V,,ГОСТ ТУ СТО,,,1
76,СШХН-65,,,,,ГОСТ ТУ СТО,,,1
77,СШХНМ-40,,,,,ГОСТ ТУ СТО,9.00,,1
78,СШХНМ-45,,,SGA I,,ГОСТ ТУ СТО,,,1
79,СШХНМ-50,,,,,ГОСТ ТУ СТО,,,1
80,СШХНМ-55,,,SGA I,,ГОСТ ТУ СТО,,,1
81,СШХНМ-63,,,CC II,,ГОСТ ТУ СТО,,,1
82,СШХНМ-70,,,SGA II,,ГОСТ ТУ СТО,,,1
83,СШХНМД-50,,,CC III,,ГОСТ ТУ СТО,11.00,,1
84,СШХНМД-55,,,CC III,,ГОСТ ТУ СТО,,,1
85,СШХНМД-60,,,CC III,,ГОСТ ТУ СТО,,,1
86,СШХНМД-63,,,CC III,,ГОСТ ТУ СТО,,,1
87,СШХНт-50,,,SG V,,ГОСТ ТУ СТО,,,1
88,Твердый сплав,,,,,ГОСТ,,,1
89,ТПХН-60,,,CC III,,ГОСТ ТУ СТО,9.00,,1
90,ТПХНдц-60,,,CC II,,ГОСТ ТУ СТО,,,1
91,ТШХН-45,,,SG V,,ГОСТ ТУ СТО,,,1
92,ТШХН-50,,,SG V,,ГОСТ ТУ СТО,,,1
93,ТШХН-51,,,SG V,,ГОСТ ТУ СТО,,,1
94,ТШХН-65,,,CC IV,,ГОСТ ТУ СТО,,,1
95,ТШХНМ-42,,,SGA I,,ГОСТ ТУ СТО,,,1
96,ТШХНМ-50,,,SGA I,,ГОСТ ТУ СТО,11.00,,1
97,ТШХНМдц-55,,,,,ГОСТ ТУ СТО,,,1
98,ТШХНМц-60,,,CC II,,ГОСТ ТУ СТО,,,1
99,ЧНХМД,,,,,ГОСТ 7769-82,,,1
100,ЧХ1,,,,,ГОСТ 7769-82,,,1
101,ЧХ16,,,,,ГОСТ 7769-82,,,1
102,ЧХ16М2,,,,,ГОСТ 7769-82,,,1
103,ЧХ2,,,,,ГОСТ 7769-82,,,1
104,ЧХ28,,,,,ГОСТ 7769-82,,,1
105,ЧХ28Н2Т,,,,,ГОСТ 7769-82,,,1
106,ЧХ3,,,,,ГОСТ 7769-82,,,1
107,ЧХ32,,,,,ГОСТ 7769-82,,,1
108,ЧХ3Т,,,,,ГОСТ 7769-82,,,1
 8. Цветной металл,,,,,,,,,98
1,ZCuAl10Fe3,,,БрАЖ93Л,,ГОСТ,,,1
2,А12,,,,,ГОСТ,,,1
3,АД31,,,,,ГОСТ,,,1
4,АК5,,,Силумин,,ГОСТ,,,1
5,Ал.,,,,,ГОСТ,,,1
6,Ал. ZL102,,,,,ГОСТ,,,1
7,Ал. ZL104,,,,,ГОСТ,,,1
8,Ал3В,,,,,ГОСТ,,,1
9,АМ5,,,,,ГОСТ,,,1
10,АМГ2,,,,,ГОСТ,,,1
11,"АМг4,0",,,,,ГОСТ,,,1
12,АМРСО 18.23,,,,,ГОСТ,,,1
13,АМц,,,,,ГОСТ,,,1
14,Б16,,,,,ГОСТ,,,1
15,Бр МЦС 8-20,,,,,ГОСТ,,,1
16,Бр.ОЦС 5-5-5,,,,,ГОСТ,,,1
17,Бр010С10,,,,,ГОСТ,,,1
18,Бр010Ф1,,,,,ГОСТ,80.00,,1
19,Бр010Ц2,,,,,ГОСТ,80.00,,1
20,Бр05С25,,,,,ГОСТ,,,1
21,Бр05Ц5С5,,,,,ГОСТ,,,1
22,Бр06Ц6С3,,,,,ГОСТ,,,1
23,Бр08С-12,,,,,ГОСТ,,,1
24,Бр08С21,,,,,ГОСТ,,,1
25,Бр0С8-12,,,,,ГОСТ,,,1
26,"Бр0Ф10-0,5",,,,,ГОСТ,,,1
27,"Бр0Ф6,5-0,15",,,,,ГОСТ,,,1
28,"Бр0Ф7-0,2",,,,,ГОСТ,,,1
29,БрА10ЖЗ,,,,,ГОСТ,,,1
30,БрА10ЖЗМЦ2,,,,,ГОСТ 493-79,,,1
31,БрА11Ж4Н4Л,,,,,ГОСТ,,,1
32,БрА11Ж6Н6,,,,,ГОСТ,,,1
33,БрА9Ж3Л,,,,,ГОСТ,,,1
34,БрА9Ж4Л,,,,,ГОСТ,,,1
35,БрА9ЖЗЛ,,,,,ГОСТ,80.00,,1
36,БрАЖ10-4,,,,,ГОСТ,,,1
37,БрАЖ9-4,,,,,ГОСТ,80.00,,1
38,БрАЖ9-4Л,,,,,ГОСТ,,,1
39,"БрАЖМц10-3-1,5",,,,,ГОСТ,,,1
40,БрАЖМц10-3-1.5,,,,,ГОСТ,,,1
41,БрАЖН10-4-4,,,,,ГОСТ,80.00,,1
42,БрАЖН-10-4-4Л,,,,,ГОСТ,,,1
43,БрАМ5-5-5,,,,,ГОСТ,,,1
44,БрАмц9-2,,,,,ГОСТ,,,1
45,БрАНЖ6Н6,,,,,ГОСТ,80.00,,1
46,БрО10С10,,,,,ГОСТ,,,1
47,БрО10Ф1,,,,,ГОСТ,,,1
48,БрО5Ц5С5,,,,,ГОСТ,80.00,,1
49,БрО6Ц6С3,,,,,ГОСТ,,,1
50,БрО6Ц6С4,,,,,ГОСТ,,,1
51,БрО6Ц6С5,,,,,ГОСТ,,,1
52,БрО6Ц6С6,,,,,ГОСТ,,,1
53,БрО6Ц6С7,,,,,ГОСТ,,,1
54,БрО6Ц6С8,,,,,ГОСТ,,,1
55,Бронза 010С10,,,,,ГОСТ,,,1
56,Бронза ZCuAl10Fe3,,,,,ГОСТ,,,1
57,Бронза ZQSn10-1,,,,,ГОСТ,,,1
58,Бронза ZQSn6-6-3,,,,,ГОСТ,,,1
59,Бронза Бр.О5Ц5С5,,,,,ГОСТ,,,1
60,бронза БрА9Ж3Л,,,,,ГОСТ,,,1
61,Бронза БрО5Ц5С5,,,,,ГОСТ,,,1
62,бронза/латунь,,,,,ГОСТ,,,1
63,БрОС8-12,,,,,ГОСТ,,,1
64,БрОФ-10-1,,,,,ГОСТ,,,1
65,БрОФ7-0.2,,,,,ГОСТ,,,1
66,БрОЦС 5-5-5,,,,,ГОСТ,,,1
67,БрОЦС5-5-5,,,,,ГОСТ,,,1
68,БрОЦС6-6-3,,,,,ГОСТ,,,1
69,БрСр0.1,,,,,ГОСТ,,,1
70,БрХЦр,,,,,ГОСТ,,,1
71,ВТ1-0,,,,,ГОСТ,,,1
72,Д16,,,,,ГОСТ,,,1
73,Л63,,,,,ГОСТ,,,1
74,ЛАЖ-60-1-1Л,,,,,ГОСТ,,,1
75,ЛАЖМЦ 66-6-3-2,,,,,ГОСТ,,,1
76,ЛАЖМц66-6-3-2,,,,,ГОСТ,,,1
77,Латунь,,,,,ГОСТ,,,1
78,Латунь Н62,,,,,ГОСТ,,,1
79,Лента ДПРНТ,,,,,ГОСТ,,,1
80,ЛМцС 58-2-2,,,,,ГОСТ,,,1
81,ЛС59-1,,,,,ГОСТ,,,1
82,ЛЦ23А6Ж3Мц2,,,,,ГОСТ,,,1
83,ЛЦ38Мц2С2,,,,,ГОСТ,80.00,,1
84,М1,,,,,ГОСТ,,,1
85,М1р,,,,,ГОСТ,,,1
86,"М99,95-МП",,,,,ГОСТ,,,1
87,Медь,,,,,ГОСТ,,,1
88,Медь М1,,,,,ГОСТ,,,1
89,Медь М2,,,,,ГОСТ,,,1
90,Медь МС,,,,,ГОСТ,,,1
91,медь ТР1 ,,,,,ГОСТ,80.00,,1
92,МНЖ5-1,,,,,ГОСТ,,,1
93,НП2,,,,,ГОСТ,,,1
94,НП3,,,,,ГОСТ,,,1
95,ОЦС 5-5-5,,,,,ГОСТ,,,1
96,Т2,,,,,ГОСТ,,,1
97,Титан ВТ1-0,,,,,ГОСТ,,,1
98,ЦАМ10-5Л,,,,,ГОСТ 21437-95,,,1
 9. Прочие,,,,,,,,,4
1,Полиамид 6,,,Капролон,,ГОСТ,,,1
2,Полиамид 6-2л,,,Капролон,,ГОСТ,,,1
3,ПОН(б),,,,,ГОСТ,,,1
4,"Проволока Б-3-6,0",,,,,ГОСТ 9389,,,1
10. Немагнитные материалы.,,,,,,,,,1
1,Р550,,,,,ГОСТ,80.00,,1
Итого,,,,,,,,,910
