"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Вал в сборе с полумуфтой ч.ТПЦ-4009-А СБ","ТПЦ-4009-А СБ","ПНТЗ","1.000","3,467","СБ","252,000.00","72.69","72.40","Лебедев Станислав Артурович","30.01.2024, Выиграли частично","3,467",""
"Вал ч.3114.36.502-01 СБ","3114.36.502-01 СБ","ВМЗ","1.000","3,470.59","СБ","124,700.00","35.93","35.93","Солнышкин Дмитрий Сергеевич","06.02.2024, Выиграли","3,470.59","14,12"
"Вал спирали классификатор кс1-24-92 ОФПО ч.12836.01.00 СБ","12836.01.00 СБ","ПМХ","1.000","3,492","СБ","320,000.00","91.64","91.64","Лебедев Николай Леонидович","22.01.2024, Проиграли","3,492","56,70"
"Вал поворотный ч.4643120","4643120","ОЭМК","3.000","3,520","Ст.35","298,033.42","84.67","52.93","Максутов Бектурсун Абдилнабиевич","24.02.2025, Проиграли","10,560","28,00"
"Вал поворотный ч.4643120 СБ","4643120 СБ","ОЭМК","2.000","3,520","СБ","135,000.00","38.35","38.35","Ряхимов Али Рафикович","18.05.2023, Выиграли","7,040","18,00"
"Вал поковка ч.В18625","В18625","ВТЗ","1.000","3,540","40Х","64,693.50","18.28","18.28","Ряхимов Али Рафикович","27.03.2024, Отменен","3,540","8,50"
"Вал в сборе ч.ВТК-1099.130 СБ","ВТК-1099.130 СБ","ПНТЗ","1.000","3,570","СБ","15,550.00","4.36","4.20","Лебедев Станислав Артурович","30.01.2024, Выиграли частично","3,570",""
"Вал ч.264433-2","264433-2","Металлоинвест","1.000","3,662","СБ","127,437.60","34.80","34.80","Давлетмурзаев Амирсултан Адильсултанович","17.10.2025, Подались","3,662","14,50"
"Вал шестерня ч.4002.19.401","4002.19.401","СЛК Цемент","2.000","3,795","34ХН3М","265,650.00","70.00","70.00","Григорян Саркис Владимирович","29.11.2024, Проиграли","7,590","35,00"
"Вал шестерня ч.4002.19.401","4002.19.401","СЛК Цемент","2.000","3,795","34ХН3М","300,282.82","79.13","79.13","Кандеев Анатолий Анатольевич","25.07.2024, Проиграли","7,590",""
"Вал коренной ч.09.001.556","09.001.556","Евраз НТМК","1.000","3,911","40","135,000.00","34.52","27.87","Григорян Саркис Владимирович","26.06.2025, Проиграли","3,911","15,34"
"Вал звездочка ч.1-377289 СБ","1-377289 СБ","РАЗВИТИЕ АО","5.000","3,918","СБ","162,394.54","41.45","41.45","Нюняев Василий Евгеньевич","15.07.2024, Отменен","19,590",""
"Вал в сборе ч.ВТК-1099-120 СБ","ВТК-1099-120 СБ","ПНТЗ","1.000","4,000","СБ","17,045.00","4.26","4.23","Лебедев Станислав Артурович","30.01.2024, Выиграли частично","4,000",""
"Вал промежуточный в сборе ч.СПИ 3295.00.00 СБ","СПИ 3295.00.00 СБ","Атлас Майнинг","1.000","4,000","СБ","300,000.00","75.00","75.00","Коновалов Данила Евгеньевич","07.11.2025, Подались","4,000","40,00"
"Вал ч.2-100105 СБ","2-100105 СБ","Металлоинвест","1.000","4,004.6","СБ","219,491.72","54.81","49.41","Давлетмурзаев Амирсултан Адильсултанович","22.10.2025, Подались","4,004.6","27,00"
"Вал дробилки ч.3612CR01-014-006-000 СБ","3612CR01-014-006-000 СБ","Аккерманн цемент","1.000","4,022","СБ","185,000.00","46.00","46.00","Лебедев Николай Леонидович","22.11.2024, Проиграли","4,022","23,95"
"Вал шарнирный ч.7558090","7558090","ОЭМК","2.000","4,050","СБ","201,301.71","49.70","44.44","Баяндин Олег Николаевич","29.08.2025, Подались","8,100","20,99"
"Вал шарнирный ч.7558090","7558090","ОЭМК","2.000","4,050","СБ","394,875.00","97.50","55.00","Максутов Бектурсун Абдилнабиевич","12.05.2025, Проиграли","8,100","25,00"
"Вал коленчатый для дизеля Д500 ч.с0301 СБ","с0301 СБ","КОЛОМЕНСКИЙ ЗАВОД АО","20.000","4,146","","45,000.00","10.85","10.85","Диденко Виталий Тимофеевич","29.12.2023, Проиграли","82,920","96,00"
"Вал ч.3Б62.15.01.И1-1","3Б62.15.01.И1-1","Эл5-Энерго","1.000","4,150","45","200,000.00","48.19","48.19","Лебедев Николай Леонидович","06.10.2025, Подались","4,150","26,51"
"Вал шестерня с колесами ч.14140-01-701-Б СБ","14140-01-701-Б СБ","ПНТЗ","1.000","4,150","СБ","403,380.00","97.20","97.20","Лебедев Станислав Артурович","11.02.2025, Мониторинг цен","4,150","36,00"
"Вал ч.264433-3","264433-3","Металлоинвест","1.000","4,167","СБ","145,010.40","34.80","34.80","Давлетмурзаев Амирсултан Адильсултанович","17.10.2025, Подались","4,167","14,50"
"Вал шестерня в сборе с опорами ч.М8384-3Р","М8384-3Р","Атлас Майнинг","1.000","4,214","СБ","590,000.00","140.01","140.01","Коновалов Данила Евгеньевич","07.11.2025, Подались","4,214","75,94"
"Вал шестерня в сборе с опорами ч.М8384-3Р","М8384-3Р","Атлас Майнинг","2.000","4,214","СБ","420,000.00","99.67","99.67","Коновалов Данила Евгеньевич","09.06.2025, Проиграли","8,428","50,00"
"Вал шестерня в сборе с опорами ч.М8384-3Р","М8384-3Р","Атлас Майнинг","2.000","4,214","СБ","590,000.00","140.01","140.01","Коновалов Данила Евгеньевич","07.11.2025, Подались","8,428","75,94"
"Вал шестерня ч.K5716F.4.1-0 СБ","K5716F.4.1-0 СБ","Атлас Майнинг","1.000","4,235.27","СБ","365,000.00","86.18","86.18","Коновалов Данила Евгеньевич","28.01.2025, Проиграли","8,470.54","35,00"
"Вал ч.264433-1","264433-1","Металлоинвест","1.000","4,293","СБ","149,395.20","34.80","34.80","Давлетмурзаев Амирсултан Адильсултанович","17.10.2025, Подались","4,293","14,50"
"Вал шестерня ч.1-310070-1","1-310070-1","РАЗВИТИЕ АО","1.000","4,300","34ХН3М","200,850.00","46.71","46.71","Ряхимов Али Рафикович","02.07.2024, Отменен","4,300",""
"Вал шестерня ч.1-310070-1","1-310070-1","РАЗВИТИЕ АО","1.000","4,300","34ХН3М","200,860.00","46.71","46.71","Ряхимов Али Рафикович","02.07.2024, Отменен","4,300",""
"Вал промежуточный ч.3540.09.01.060 СБ","3540.09.01.060 СБ","Северсталь","1.000","4,450","СБ","280,000.00","62.92","62.92","Зырянов Олег Юрьевич","05.11.2025, Не участвовали","4,450","35,00"
"Вал фланцевый ч.АЦ СМ ПС 00 01","АЦ СМ ПС 00 01","Цемрос","1.000","4,452","34ХН1М","311,640.00","70.00","70.00","Григорян Саркис Владимирович","25.10.2024, Проиграли","4,452","35,00"
"Вал поворотный ч.4643110 СБ","4643110 СБ","ОЭМК","1.000","4,500","СБ","409,500.00","91.00","47.56","Максутов Бектурсун Абдилнабиевич","23.09.2024, Проиграли","4,500","22,22"
"Вал шестерня ч.2-419921 СБ","2-419921 СБ","РАЗВИТИЕ АО","3.000","4,500","СБ","218,400.00","48.53","48.53","Ряхимов Али Рафикович","02.07.2024, Отменен","13,500",""
"Вал шестерня ч.2-829436","2-829436","РАЗВИТИЕ АО","1.000","4,500","СБ","183,750.00","40.83","40.83","Ряхимов Али Рафикович","02.07.2024, Отменен","4,500",""
"Вал поворотный ч.4643110","4643110","ОЭМК","1.000","4,501","СБ","513,310.14","114.04","114.04","Максутов Бектурсун Абдилнабиевич","14.08.2024, Отменен","4,501",""
"Вал поворотный ч.4643110","4643110","ОЭМК","2.000","4,501","СБ","170,000.00","37.77","37.77","Ряхимов Али Рафикович","18.05.2023, Выиграли","9,002","18,00"
"Вал шестерня ч.2-196487","2-196487","Гайский Гок","1.000","4,650","40ХН2МА","220,000.00","47.31","47.31","Зырянов Олег Юрьевич","29.05.2024, Проиграли","4,650","24,19"
"Вал шестерня ч.2-196487","2-196487","Гайский Гок","1.000","4,650","40ХН2МА","300,000.00","64.52","64.52","Зырянов Олег Юрьевич","05.08.2025, Проиграли","4,650","30,00"
"Вал шестерня ч.2-196487","2-196487","Сорский ферромолибденовый завод","2.000","4,650","40ХН2МА","235,000.00","50.54","44.73","Левичев Никита Сергеевич","13.11.2024, Проиграли","9,300","27,96"
"Вал с рычагами для контовки заготовок ч.14-3.6-545 СБ","14-3.6-545 СБ","Металлоинвест","1.000","4,685","СБ","168,660.00","36.00","36.00","Давлетмурзаев Амирсултан Адильсултанович","24.10.2025, Подались","4,685","18,00"
"Вал шестерня ч.4002.19.401.0","4002.19.401.0","Цемрос","2.000","4,720","40CrNiMo","292,500.00","61.97","61.97","Ряхимов Али Рафикович","15.08.2024, Отменен","9,440",""
"Вал верхний ч.13.06.2508","13.06.2508","ВМЗ","1.000","4,722","34ХН3М","222,000.00","47.01","47.01","Солнышкин Дмитрий Сергеевич","27.09.2024, Отменен","4,722","22,24"
"Вал верхний ч.13.06.2508","13.06.2508","ВМЗ","4.000","4,722","34ХН3М","202,040.00","42.79","41.93","Солнышкин Дмитрий Сергеевич","30.10.2024, Выиграли","18,888","22,24"
"Вал наклонный (заготовка) Ø460 ч.13.06.2672","13.06.2672","ВМЗ","1.000","4,722","34ХН3М","197,000.00","41.72","41.72","Солнышкин Дмитрий Сергеевич","17.03.2023, Выиграли","4,722","22,24"
"Вал наклонный (заготовка) Ø460 ч.13.06.2672","13.06.2672","ВМЗ","1.000","4,722","34ХН3М","205,000.00","43.41","43.41","Солнышкин Дмитрий Сергеевич","07.02.2024, Выиграли","4,722","22,24"
"Вал верхний (заготовка) ч.13.06.2508","13.06.2508","ВМЗ","2.000","4,753","34ХН3М","205,000.00","43.13","43.13","Солнышкин Дмитрий Сергеевич","23.10.2023, Выиграли","9,506","22,09"
"Вал верхний (заготовка) ч.13.06.2508","13.06.2508","ВМЗ","2.000","4,753","34ХН3М","205,000.00","43.13","43.13","Солнышкин Дмитрий Сергеевич","23.11.2023, Выиграли","9,506","22,09"
"Вал ч.264433-4","264433-4","Металлоинвест","1.000","4,798","СБ","166,970.40","34.80","34.80","Давлетмурзаев Амирсултан Адильсултанович","17.10.2025, Подались","4,798","14,50"
"Вал насоса УНБТ-1600 54034.53.415","","Уралмаш НГО Холдинг","4.000","4,800","","245,000.00","51.04","51.04","Григорян Саркис Владимирович","16.01.2023, Выиграли","19,200","23,54"
"Вал промежуточный ч.1-325885.01.000","1-325885.01.000","ИСО ООО","1.000","4,830","45","180,000.00","37.27","26.92","Левичев Никита Сергеевич","10.09.2025, Подались","4,830","16,00"
"Вал шестерня ч.М3851-8 СБ","М3851-8 СБ","Атлас Майнинг","1.000","4,830","СБ","400,000.00","82.82","82.82","Коновалов Данила Евгеньевич","28.01.2025, Проиграли","4,830","35,00"
"Вал ч.189579","189579","Огк-2","1.000","4,868","Ст.35","270,000.00","55.46","55.46","Лебедев Николай Леонидович","30.01.2025, Мониторинг цен","4,868","26,49"
"Вал с глухими отверстиями 1 ч.БМ84.02-312-101 А","БМ84.02-312-101 А","СЕГЕЖА ГРУПП - ОЦО","1.000","4,940","Чугун","795,650.83","161.06","161.06","Максутов Бектурсун Абдилнабиевич","06.11.2024, Проиграли","4,940","100,00"
"Вал с глухими отверстиями 1 ч.БМ84.02-312-101 А","БМ84.02-312-101 А","СЕГЕЖА ГРУПП - ОЦО","1.000","4,940","Чугун","875,142.85","177.15","177.15","Максутов Бектурсун Абдилнабиевич","26.03.2025, Проиграли","4,940","100,00"
"Вал коленчатый в сборе ECN ч.31-02.23.00.1","31-02.23.00.1","Газпром бурение Краснодар бурение ф-л","1.000","5,000","СБ","586,667.00","117.33","117.33","Солнышкин Дмитрий Сергеевич","26.08.2024, Отменен","70,000","30,00"
"Вал подъемный ч.44058.78.000","44058.78.000","Газпром бурение Краснодар бурение ф-л","1.000","5,000","","660,714.29","132.14","132.14","Солнышкин Дмитрий Сергеевич","06.11.2024, Проиграли","5,000","71,43"
"Вал ч.189140","189140","Северсталь","1.000","5,230","Ст.35","175,000.00","33.46","33.46","Максутов Бектурсун Абдилнабиевич","24.03.2025, Проиграли","5,230","14,34"
"Вал ч.7218-913.01.00.001","7218-913.01.00.001","Уралэлектромедь","2.000","5,283.73","40Х","120,000.00","22.71","22.71","Зырянов Олег Юрьевич","14.02.2024, Выиграли","10,567.46","12,42"
"Вал шестерня ч.15862.00.00","15862.00.00","Гайский Гок","1.000","5,311","34ХН3М","320,000.00","60.25","60.25","Зырянов Олег Юрьевич","06.12.2024, Проиграли","5,311","27,30"
"Вал прошивного стана ч.Т1-575-35Б","Т1-575-35Б","СТЗ","2.000","5,317","42CrMo","210,000.00","39.50","36.67","Лебедев Николай Леонидович","25.08.2025, Проиграли","10,634","19,65"
"Вал прошивного стана ч.Т1-575-35Б","Т1-575-35Б","СТЗ","2.000","5,317","42CrMo","294,030.00","55.30","55.30","Лебедев Станислав Артурович","10.06.2026, Подались","10,634","18,62"
"Вал прошивного стана ч.Т1-575-35Б","Т1-575-35Б","СТЗ","2.000","5,317","42CrMo","315,000.00","59.24","56.42","Лебедев Николай Леонидович","10.03.2025, Проиграли","10,634","30,09"
"Вал прошивного стана ч.Т1-575-35Б","Т1-575-35Б","СТЗ","2.000","5,317","42CrMo","354,697.07","66.71","36.68","Лебедев Станислав Артурович","19.08.2024, Отменен","10,634","18,81"
"Вал прошивного стана ч.Т1-575-35Б","Т1-575-35Б","СТЗ","4.000","5,317","42CrMo","250,000.00","47.02","47.02","Лебедев Николай Леонидович","22.08.2024, Отменен","21,268","26,52"
"Вал опорный ч.121111","121111","ЗЭМЗ ТД","1.000","5,400","42CrMo","169,000.00","31.30","31.30","Власов Михаил Дмитриевич","29.08.2025, Подались","5,400","14,81"
"Вал фреза ч.5977-02","5977-02","Торговый порт Посьет","1.000","5,407.8","СБ","342,000.00","63.24","63.24","Зайцева Людмила Петровна","09.04.2025, Отменен","5,407.8","35,13"
"Вал имитатор (поковка) ч.8198.29.16.001","8198.29.16.001","Южуралмаш","1.000","5,600","20","129,000.00","23.04","23.04","Жуков Евгений Александрович","15.11.2024, Проиграли","5,600","10,00"
"Вал ч.57937.1","57937.1","ОЭМК","1.000","5,636","17Г1С","790,895.67","140.33","123.50","Максутов Бектурсун Абдилнабиевич","14.08.2024, Проиграли","5,636","65,00"
"Вал с лопастями ч.4080.16.01.003","4080.16.01.003","Петросталь","1.000","5,675","35ХМФА","300,000.00","52.86","52.86","Зырянов Олег Юрьевич","22.04.2023, Выиграли","5,675","29,07"
"Вал ч.57938.1","57938.1","ОЭМК","1.000","5,750.2","17Г1С","806,893.20","140.32","123.50","Максутов Бектурсун Абдилнабиевич","14.08.2024, Проиграли","5,750.2","65,00"
"Вал шестерня ч.057/0-2","057/0-2","Цемрос","1.000","5,800","34ХН3М","346,500.00","59.74","59.74","Давлетмурзаев Амирсултан Адильсултанович","25.06.2025, Подались","5,800","28,45"
"Вал шестерня ч.4201.03.301.0","4201.03.301.0","Цемрос","1.000","5,800","34ХН3М","330,000.00","56.90","56.90","Ряхимов Али Рафикович","15.08.2024, Отменен","5,800",""
"Вал промежуточный Ø520 ч.4330.07.605.0","4330.07.605.0","Сибирский Цемент ТД","1.000","5,850","45","170,000.00","29.06","29.06","Лебедев Николай Леонидович","08.07.2025, Проиграли","5,850","14,00"
"Вал промежуточный ч.4330.01.609","4330.01.609","СЛК Цемент","1.000","5,850","45","86,666.67","14.81","14.81","Григорян Саркис Владимирович","17.03.2024, Выиграли","5,850","10,26"
"Вал промежуточный ч.4330.01.609","4330.01.609","СЛК Цемент","1.000","5,850","45","152,100.00","26.00","26.00","Григорян Саркис Владимирович","29.11.2024, Проиграли","5,850","13,00"
"Вал III ч.4002.19.400","4002.19.400","ИСО ООО","2.000","5,880","СБ","620,000.00","105.44","105.44","Левичев Никита Сергеевич","10.10.2024, Отменен","11,760","40,00"
"Вал шестерня подвенцовая ч.2-322744","2-322744","Горнозаводскцемент","1.000","6,000","38Х2Н2МА","358,000.00","59.67","55.33","Ряхимов Али Рафикович","25.11.2024, Проиграли","6,000","30,00"
"Вал поворотный ч.16-1142-ДМ-250 СБ","16-1142-ДМ-250 СБ","Металлоинвест","1.000","6,080","СБ","319,200.00","52.50","50.00","Давлетмурзаев Амирсултан Адильсултанович","24.10.2025, Подались","6,080","25,00"
"Вал шестерня ч.4001.64.027.0","4001.64.027.0","СЛК Цемент","2.000","6,100","34ХН3М","427,000.00","70.00","70.00","Григорян Саркис Владимирович","29.11.2024, Проиграли","12,200","35,00"
"Вал шестерня ч.4001.64.027.1.0","4001.64.027.1.0","Цемрос","1.000","6,100","40CrNiMo","300,000.00","49.18","49.18","Ряхимов Али Рафикович","15.08.2024, Отменен","6,100",""
"Вал в сборе с дробильными кольцами и подшипниковыми узлами, левый ч.БСК 20.60.00.01.000-01 СБ","БСК 20.60.00.01.000-01 СБ","ТЕХ-СЕРВИС","1.000","6,263.51","СБ","480,000.00","76.63","66.26","Коновалов Данила Евгеньевич","14.10.2025, Подались","6,263.51","35,00"
"Вал в сборе с дробильными кольцами и подшипниковыми узлами, правый ч.БСК 20.60.00.01.000 СБ","БСК 20.60.00.01.000 СБ","ТЕХ-СЕРВИС","1.000","6,263.51","СБ","480,000.00","76.63","66.26","Коновалов Данила Евгеньевич","14.10.2025, Подались","6,263.51","35,00"
"Вал шестерня в сборе ч.XCZX25217100000000 СБ","XCZX25217100000000 СБ","Атлас Майнинг","1.000","6,285","СБ","550,000.00","87.51","87.51","Коновалов Данила Евгеньевич","28.01.2025, Проиграли","12,570","35,00"
"Вал приводной ч.М18-3 СБ","М18-3 СБ","Металлоинвест","3.000","6,321","СБ","505,680.00","80.00","50.94","Давлетмурзаев Амирсултан Адильсултанович","28.02.2025, Выиграли","18,963","25,15"
"Вал шестерня ч.ХСХ25211.0 СБ","ХСХ25211.0 СБ","Высочайший ПАО","1.000","6,427","СБ","519,301.60","80.80","80.80","Аскеров Аскер Алиевич","14.02.2025, Отменен","6,427","40,00"
"Вал шестерня ч.XCX25211.0","XCX25211.0","Высочайший ПАО","2.000","6,427.32","СБ","431,347.58","67.11","67.11","Максутов Бектурсун Абдилнабиевич","01.03.2024, Проиграли","12,854.64","42,01"
"Вал шестерня ч.XCX25211.0 СБ","XCX25211.0 СБ","Высочайший ПАО","2.000","6,427.41","СБ","290,000.00","45.12","45.12","Лебедев Николай Леонидович","12.05.2025, Проиграли","12,854.82","21,00"
"Вал приводной ч.1-235620-03 СБ","1-235620-03 СБ","ТД Полиметалл","1.000","6,528","СБ","380,000.00","58.21","58.21","Лебедев Николай Леонидович","09.07.2025, Проиграли","6,528","30,00"
"Вал ходовой части ч.187591","187591","Т Плюс Марий Эл и Чувашии филиал","1.000","6,720","Ст.35","472,651.20","70.34","36.73","Лебедев Станислав Артурович","13.01.2025, Проиграли","6,720","15,63"
"Вал в сборе ч.520.67.610 СБ","520.67.610 СБ","Евраз НТМК","1.000","6,750","СБ","202,930.79","30.06","30.06","Диденко Виталий Тимофеевич","05.02.2024, Выиграли","6,750","14,81"
"Вал промежуточный ч.123.09.02.00.СБ","123.09.02.00.СБ","Сибирский Цемент ТД","1.000","6,810","СБ","517,560.00","76.00","76.00","Нюняев Василий Евгеньевич","31.03.2025, Проиграли","6,810","40,00"
"Вал ч.4106.22.54 СБ","4106.22.54 СБ","Цемрос","3.000","6,907","СБ","527,000.00","76.30","76.30","Аскеров Аскер Алиевич","28.04.2025, Проиграли","20,721","45,03"
"Вал кривошипный в сборе c QF36001-02.00 (в сборе с подшипниками)","QF36001-02.00","СПЕЦПРОМСЕРВИС","1.000","7,000","","450,000.00","64.29","64.29","Солнышкин Дмитрий Сергеевич","10.10.2025, Подались","14,000","35,71"
"Вал ч.ЛПЗ-4130.00.01","ЛПЗ-4130.00.01","ЯМЗ","1.000","7,200","40Х","210,380.00","29.22","29.22","Морев И.В.","29.03.2024, Отменен","7,200","10,90"
"Вал главный с тормозом ч.Т-11851-01 СБ","Т-11851-01 СБ","Петербургский Метрополитен","1.000","7,222","СБ","677,083.00","93.75","93.75","Лебедев Николай Леонидович","25.02.2025, Проиграли","7,222","50,00"
"Вал эксцентриковый ч.3450.03.000 СБ","3450.03.000 СБ","ПКФ СТРОЙНЕРУДКОМПЛЕКТ ООО","1.000","7,300","СБ","244,000.00","33.42","33.42","Максутов Бектурсун Абдилнабиевич","25.10.2024, Отменен","7,300","17,00"
"Вал коленчатый ч.GH3161-02.00","GH3161-02.00","РН-Бурение Восточно-Сибирский филиал","1.000","7,500","СБ","399,667.00","53.29","52.93","Солнышкин Дмитрий Сергеевич","18.03.2024, Выиграли частично","7,500","32,67"
"Вал коленчатый ч.GH3161-02.00","GH3161-02.00","СПЕЦПРОМСЕРВИС","1.000","7,500","СБ","450,000.00","60.00","60.00","Солнышкин Дмитрий Сергеевич","15.10.2025, Подались","7,500","33,33"
"Вал кривошатуный в сборе ч.AH37001-01.00","AH37001-01.00","Газпром бурение Краснодар бурение ф-л","1.000","7,500","СБ","453,333.00","60.44","60.44","Солнышкин Дмитрий Сергеевич","26.08.2024, Отменен","105,000","33,33"
"Вал подъемный для буровой лебедки JC28PD в сборе","JC28PD","ССК АО","1.000","7,500","СБ","1,395,000.00","186.00","106.00","Солнышкин Дмитрий Сергеевич","10.03.2025, Проиграли","7,500","64,00"
"Вал шестерня в сборе с опорами ч.M8384-3P(W)","M8384-3P(W)","Атлас Майнинг","1.000","7,500","СБ","635,000.00","84.67","84.67","Коновалов Данила Евгеньевич","28.01.2025, Проиграли","15,000","35,00"
"Вал приводной ч.805.003.00-01","805.003.00-01","КЭВРЗ","2.000","7,667.5","34CrNi3Mo","425,020.20","55.43","55.43","Нюняев Василий Евгеньевич","03.10.2024, Проиграли","15,335","27,72"
"Вал ч.12130.70.111","12130.70.111","ЛГОК","1.000","7,950","40","239,394.38","30.11","30.11","Максутов Бектурсун Абдилнабиевич","26.01.2024, Отменен","7,950","17,00"
"Вал шестерня ч.М8384-3Р(W)","М8384-3Р(W)","Высочайший ПАО","1.000","8,020","СБ","648,016.00","80.80","80.80","Аскеров Аскер Алиевич","14.02.2025, Отменен","8,020","40,00"
"Вал эксцентриковый ч.1101.06.07-2","1101.06.07-2","Сибирский Цемент ТД","1.000","8,613.6","40","333,630.50","38.73","38.73","Нюняев Василий Евгеньевич","19.02.2025, Проиграли","8,613.6","19,08"
"Вал эксцентриковый ч.3460.03.001.0.023","3460.03.001.0.023","Сибирский Цемент ТД","1.000","9,200","40Х","322,414.00","35.05","35.05","Лебедев Станислав Артурович","21.03.2025, Мониторинг цен","9,200","16,30"
"Вал в сборе ч.C3.07.02.00 СБ","C3.07.02.00 СБ","ИСО ООО","2.000","9,442","СБ","570,000.00","60.37","60.37","Левичев Никита Сергеевич","22.05.2024, Отменен","18,884",""
"Вал в сборе ч.C3.07.02.00 СБ","C3.07.02.00 СБ","ИСО ООО","3.000","9,442","СБ","410,000.00","43.42","37.07","Левичев Никита Сергеевич","24.04.2024, Проиграли","28,326","19,06"
"Вал ч.С3.07.02.00 СБ","С3.07.02.00 СБ","ИСО ООО","1.000","9,442","СБ","600,000.00","63.55","44.48","Левичев Никита Сергеевич","10.09.2025, Подались","9,442","30,00"
"Вал тихоходный ч.4109.98.19 СБ","4109.98.19 СБ","ЛГОК","1.000","9,750","СБ","599,040.00","61.44","61.44","Баяндин Олег Николаевич","18.09.2025, Проиграли","9,750","32,00"
"Вал JC176.02.01","JC176.02.01","ССК АО","1.000","10,000","СБ","1,775,000.00","177.50","177.50","Солнышкин Дмитрий Сергеевич","10.03.2025, Проиграли","10,000","48,00"
"Вал подъёмный лебёдки (дизельная) DW40E0604JG02200017","DW40E0604JG02200017","РН-Бурение ГК","1.000","10,000","","1,375,000.00","137.50","137.50","Солнышкин Дмитрий Сергеевич","09.04.2025, Мониторинг цен","10,000","75,00"
"Вал IV ч.8197.78.00.400 СБ","8197.78.00.400 СБ","Пикалевский глиноземный завод","1.000","10,200","СБ","580,000.00","56.86","50.98","Левичев Никита Сергеевич","14.11.2024, Проиграли","10,200","28,00"
"Вал наружный ч.1-HMM-11047","1-HMM-11047","ОЭМК","2.000","10,200","СБ","4,204,000.00","412.16","294.12","Баяндин Олег Николаевич","08.09.2025, Подались","20,400","125,49"
"Вал промежуточный ч.С3.09.00.83 СБ","С3.09.00.83 СБ","ИСО ООО","3.000","10,200","Ст.45Л","380,000.00","37.25","26.47","Левичев Никита Сергеевич","10.09.2025, Подались","30,600","15,88"
"Вал промежуточный ч.С3.09.00.83 СБ","С3.09.00.83 СБ","ИСО ООО","3.000","10,200","Ст.45Л","1,200,000.00","117.65","27.94","Левичев Никита Сергеевич","16.09.2024, Выиграли частично","30,600","15,88"
"Вал эксцентриковый Д3.06.006 ч.3430.06.006","3430.06.006","СЛК Цемент","1.000","10,517","34CrNiMo6","518,277.76","49.28","49.28","Нюняев Василий Евгеньевич","27.12.2024, Проиграли","10,517","22,40"
"Вал шестерня ч.1-193758","1-193758","Фосагро","1.000","11,000","34ХН3М","618,548.70","56.23","56.23","Диденко Виталий Тимофеевич","24.03.2025, Проиграли","11,000","25,00"
"Вал средний ч.1-HMM-11046","1-HMM-11046","ОЭМК","1.000","11,344","СБ","2,268,800.00","200.00","200.00","Баяндин Олег Николаевич","08.09.2025, Подались","11,344","100,00"
"Вал ч.П2.600.00 СБ","П2.600.00 СБ","ИСО ООО","6.000","11,400","СБ","1,300,000.00","114.04","32.46","Левичев Никита Сергеевич","16.09.2024, Выиграли частично","68,400","19,30"
"Вал приводной ч.2499.03.100.1А СБ","2499.03.100.1А СБ","ИСО ООО","1.000","11,572","СБ","440,000.00","38.02","26.96","Левичев Никита Сергеевич","10.09.2025, Подались","11,572","15,65"
"Вал приводной ч.2499.03.100.1А СБ","2499.03.100.1А СБ","Цемрос","1.000","11,572","СБ","1,200,000.00","103.70","71.72","Жуков Евгений Александрович","14.02.2025, Проиграли","11,572","40,00"
"Вал приводной ч.2499.03.100.1А СБ","2499.03.100.1А СБ","ИСО ООО","2.000","11,572","СБ","1,300,000.00","112.34","36.29","Левичев Никита Сергеевич","16.09.2024, Выиграли частично","23,144","22,00"
"Вал ведомый ч.123.09.03.00 СБ","123.09.03.00 СБ","Сибирский Цемент ТД","1.000","12,940","СБ","860,510.00","66.50","66.50","Нюняев Василий Евгеньевич","31.03.2025, Проиграли","12,940","35,00"
"Вал с колесом ч.219/21-4 СБ","219-21-4 СБ","Пикалевский глиноземный завод","1.000","13,975","СБ","520,000.00","37.21","28.62","Левичев Никита Сергеевич","10.08.2024, Проиграли","13,975","15,03"
"Вал коленчатый ч.1-308525 СБ","1-308525 СБ","ЧТПЗ","2.000","14,100","СБ","780,000.00","55.32","55.32","Ряхимов Али Рафикович","25.10.2023, Выиграли","28,200","29,08"
"Вал передаточный ч.20.021.169 СБ","20.021.169 СБ","Евраз НТМК","1.000","14,240","СБ","424,364.73","29.80","29.80","Диденко Виталий Тимофеевич","21.12.2023, Выиграли","14,240","18,26"
"Вал передаточный ч.20.021.178 СБ","20.021.178 СБ","Евраз НТМК","1.000","14,240","СБ","424,364.73","29.80","29.80","Диденко Виталий Тимофеевич","21.12.2023, Выиграли","14,240","18,26"
"Вал ч.4001.69.001","4001.69.001","СЛК Цемент","1.000","14,500","50ХН","580,000.00","40.00","40.00","Григорян Саркис Владимирович","29.11.2024, Проиграли","14,500","20,00"
"Вал промежуточный ч.1-140378 СБ","1-140378 СБ","ИСО ООО","1.000","15,481","СБ","620,000.00","40.05","35.53","Левичев Никита Сергеевич","26.03.2025, Проиграли","15,481","16,60"
"Вал промежуточный ч.1-140378 СБ","1-140378 СБ","ИСО ООО","1.000","15,481","СБ","950,000.00","61.37","61.37","Левичев Никита Сергеевич","28.05.2024, Отменен","15,481","30,00"
